475125954654498816,3,457990924304117760,atbarrie537,187.86
475125952297299968,4,465166753316466688,ech88,187.76
474733192985702400,6,469322502787559424,nutsdiamond,180.16
475126688976465920,2,475126369693462528,Buzunca,178.46
474763400728014848,5,465956230100152320,kirkmdunn,178.34
474763394851794944,10,469640019137523712,ManVan,174.62
474763409527664640,7,360152579533049856,PattyHack87,173.64
475125967417765888,10,97774829117521920,itzpetes,172.76
474763425646374912,11,69491009993981952,Kopite96,172.46
475095756127072256,11,459440808215441408,CasqueaCasque,170.88
475095770714861568,1,83275321100877824,Ctriss5456,170.42
474763419329753088,6,230894453538164736,mynamejefe,169.96
475125956562907137,6,437756283240574976,bigwilli,169.86
474733194810224641,6,468499378437353472,stilldrematic,169.80
474763393341845504,2,471777507142529024,Jacowden24,169.68
474733202745847808,2,430847052914622464,kr3w1,168.26
474733203970584576,9,404641152298434560,Dwayno19,167.92
474763424333557762,12,77118367924109312,fletchboogie,166.56
475125949931712513,7,467709178312388608,Tippecanoe,166.36
474733206952734720,11,340182555514937344,hawk02889,165.44
474763402661588992,9,459404882974076928,Bama58,164.06
475125961331830784,4,339098368179462144,Garthacus,163.96
474763416381157376,7,330138201823916032,garyod8,163.90
475125961206001664,5,340248297170030592,bridgeguy6000,163.56
475095756831715328,5,458395573062463488,bwien,163.56
474763405048147968,8,444325073889783808,IronThrone,163.38
475095763588739073,2,343424240118243328,Guinness3102,163.36
474763410358136833,11,344151155531718656,thenaturetiger,163.00
475125956952977408,3,432363255256580096,croker,162.86
475095760203935744,2,428906146426793984,djnegore,162.78
475095765086105601,1,338775978014683136,gflliabes,162.46
474763407518593025,2,414879605212577792,tdizzle3,162.00
475125960367140864,6,342385629096656896,Jobes811,161.86
474763392318435328,5,472300072038559744,zaneg87,161.82
474733201881821184,12,439475148161019904,kozzjr,161.62
475125951101923333,2,467204706326802432,JFuller87,161.02
474763402552537088,5,459835994477162496,ZaQattaQ,160.34
475125959100461057,3,379119063470944256,Rollovard2,160.26
474733209276379136,11,325846619910074368,grizzwald39,159.72
474763391550877696,11,473661877071638528,cheyennelane,159.62
475125956063784960,4,444552384983592960,Brownie1109,159.56
474763414242062336,1,332834604580868096,Dufranus,159.26
474763409527664640,3,363040743646019584,danacus,159.06
475095772107370497,1,76845378783559680,kuhnew,158.86
475095765090299904,9,338847724453494784,storey,157.86
475095751345565697,11,469026630354857984,MegalaCookie,157.80
474733202112507906,8,437345412693618688,Headhoncho,157.54
474763414183342080,3,334563132603133952,hv1619,157.46
475125967593926656,1,94553368206655488,clieb88,157.38
474763409276006402,6,379085001460879360,mattydraps,157.24
475095772220616704,4,76708074379165696,MrFrosty1987,157.06
475095750632534016,10,469552277779116032,Nicawho,156.72
474763395699044353,3,469108948243312640,Jack16,156.62
475125956701319170,1,435194008243793920,latreal334,156.62
475125957137526784,1,429717649572765696,kaighn19,155.90
475095761386729472,12,401315405055934464,add,155.82
475095765086105601,10,338132599132135424,jkuro30,155.82
475095768147947520,3,300820212700168192,tsteppin,155.56
475125956701319170,2,434894054191263744,TeamRamrod13,155.08
474733209276379136,2,326251195507171328,Ramblings,155.06
475125946853093376,6,470353884129259520,Caylor,154.96
474763405777956864,8,435481265190203392,Ingy,154.18
474763395703238657,10,468986150162264064,SkolVikings04,153.86
474733188711706624,6,473959109847150592,zachgould12,153.56
475095767770460161,8,308000132664655872,cklowak,153.54
474733190053883904,11,473215950720593920,Chefhambonemalone,153.36
474733196718632960,8,467426387783839744,ChalupaBatman1042,152.66
475095748552159232,2,473888232870768640,BadDadJoke,152.46
474733197502967812,10,466787345438339072,oneeyeclosed,152.20
474763417064828928,10,326083939372367872,bunchgolf,151.86
475095755233685504,7,463420956472242176,sstarzyk,151.56
474733203807006720,8,411665331224858624,Wotherspoon91,151.40
475125968055300096,1,80547544564121600,FantasyHorsemen,150.72
474733212648599553,6,202571540967989248,cubbycarson,149.96
475125963714195456,4,316273968032018432,modus,149.74
474733205186932736,3,374413852458352640,Nathan816,149.56
474763413550002176,12,336241687691026432,Myhomie14,149.46
474733214099828736,7,87651089381736448,jakevkline,148.82
474733191467364352,9,471606301034541056,JDub559,148.52
475095753518215169,6,467546815944716288,TiberiusJH,148.32
475125941496967170,8,474782994251378688,parn,148.32
474733198585098242,11,462746356985884672,jshock,148.26
